ticker,name,action,reason,industry4,industry_name,score,score_adj,hold_bonus_applied,score_rank,score_adj_rank,op_acc2,rev_acc2,contrib_rev,debt_log,contrib_debt,cfo_to_assets,cfo_isnull,score_rebuilt,price,mcap,year,quarter,revenue_prev_q,revenue_cur_q,revenue_qoq,op_prev_q,op_cur_q,op_qoq,revenue,op_income,net_income,per,pbr,psr,planned_qty,planned_value,day1_qty,day1_value,day2_qty,day2_value,day3_qty,day3_value,est_slippage_bps
005690,파미셀,BUY,전략 신규 편입 (rank=1),211,기초 의약물질 제조업,3.449332222001554,3.449332222001554,0.0,1.0,1.0,17.510378878938393,0.7533101135588725,0.625,0.1633666869316949,0.324332222001554,0.1836616486465068,0,0.949332222001554,17470.0,981277361400.0,2025,3,26762784575.0,25647340058.0,-0.041678940914166816,8164543412.0,8141453495.0,-0.0028280720470005875,100912625003.0,27828344330.0,28770929242.0,34.106557808620394,8.88625037423847,9.724029687770265,,,,,,,,,
095610,테스,BUY,전략 신규 편입 (rank=2),29271,특수 목적용 기계 제조업,3.416310994137562,3.416310994137562,0.0,2.0,2.0,6.715815653251147,0.8726870165924935,0.625,0.2072515796930208,0.2913109941375618,0.16847869411339644,0,0.9163109941375618,65300.0,1306679738600.0,2025,3,82064274419.0,67568400439.0,-0.17664049408379137,20368092326.0,8416197598.0,-0.5867949995858636,320731821144.0,67071751544.0,67202580757.0,19.44389224165164,3.524894917878477,4.074057054704702,151.0,9860300.0,61.0,3983300.0,45.0,2938500.0,45.0,2938500.0,5.003342670704925
302440,SK바이오사이언스,BUY,전략 신규 편입 (rank=3),211,기초 의약물질 제조업,3.3144205765283763,3.3144205765283763,0.0,3.0,3.0,19.92374284725002,2.619807644486259,0.625,0.3426629601723541,0.1894205765283765,0.022545404914205817,0,0.8144205765283765,43700.0,3858604180250.0,2025,3,161859526907.0,150764791550.0,-0.06854545771269137,-37395041197.0,-19370985552.0,0.4819905278362408,624031259808.0,-122667971135.0,-2440732817.0,,1.8597342108205597,6.183350785082792,227.0,9919900.0,91.0,3976700.0,68.0,2971600.0,68.0,2971600.0,5.013608743551128
206650,유바이오로직스,BUY,전략 신규 편입 (rank=4),212,의약품 제조업,3.2512846344031687,3.2512846344031687,0.0,4.0,4.0,7.957919892873749,0.3473439891099534,0.523740851889749,0.2919975877863711,0.2275437825134198,0.31911058865107067,0,0.7512846344031687,13990.0,491751772220.0,2025,3,36234094390.0,41115380764.0,0.134715285594309,11240277023.0,18907297050.0,0.6821024082690884,153687143281.0,63669963231.0,49080778796.0,10.019233277938062,2.8303452579232835,3.1996936225230375,,,,,,,,,
218410,RFHIC,BUY,전략 신규 편입 (rank=5),264,통신 및 방송 장비 제조업,3.2179640598406585,3.2179640598406585,0.0,5.0,5.0,3.997376733347082,0.3301657049416056,0.4955273842753936,0.2987848835726918,0.2224366755652647,0.08707252045493986,0,0.7179640598406583,30400.0,1332167432600.0,2025,3,44638672150.0,40496598375.0,-0.09279115115882765,8305469280.0,7362813800.0,-0.11349815985352726,155662482434.0,21866212577.0,14354987061.0,92.80171601263696,3.572346611225606,8.558050801771271,,,,,,,,,
450080,에코프로머티,BUY,전략 신규 편입 (rank=6),28202,일차전지 및 이차전지 제조업,3.10255322938966,3.10255322938966,0.0,6.0,6.0,2.5775778375967677,0.6331963042456609,0.625,0.3675025969281667,0.1707299690376975,0.031509710232342586,0,0.7957299690376975,62900.0,4588797774400.0,2025,3,78068573064.0,63153785110.0,-0.1910472725276146,-28789921739.0,-25140832974.0,0.1267488254425088,365397733574.0,-78259371013.0,115123995490.0,39.859611846069015,3.663700623580348,12.558364085941111,,,,,,,,,
060280,큐렉소,BUY,전략 신규 편입 (rank=7),47812,기타 상품 전문 소매업,3.0469531915663843,3.0469531915663843,0.0,7.0,7.0,2.0928209578957193,0.4024814455797694,0.6142981408019567,0.0946223154007453,0.3760589874977412,-0.06858055565585146,0,0.9903571282996979,10670.0,716609425600.0,2025,3,16794769259.0,17227825501.0,0.025785185573057715,-205403768.0,341181360.0,2.661027756803371,68568580340.0,-493914381.0,-4354855074.0,,7.599599998879436,10.450988222982946,,,,,,,,,
036810,에프에스티,BUY,전략 신규 편입 (rank=8),2629,전자부품 제조업,2.9784651255645174,2.9784651255645174,0.0,8.0,8.0,22.835355871520576,0.5366926935750235,0.625,0.7891445083103221,-0.1465348744354826,0.04924168541504791,0,0.47846512556451737,32676.0,931190569200.0,2025,3,75999145398.0,65499988910.0,-0.13814834934020584,1730010718.0,-1872319549.0,-2.0822589302594134,288072722971.0,6925047036.0,-1896377723.0,,3.940587509815454,3.232484351854938,,,,,,,,,
356860,티엘비,BUY,전략 신규 편입 (rank=9),2622,전자부품 제조업,2.9586441913518766,2.9586441913518766,0.0,9.0,9.0,4.698335392521257,0.3201397648724,0.4790608656944984,0.621534639012824,-0.0204166743426218,0.010255535944373582,0,0.4586441913518766,63900.0,545710965000.0,2025,3,64053168694.0,68887950289.0,0.07548075596536233,6856979236.0,8652412088.0,0.26184020546157594,235754748830.0,18291443523.0,13373585059.0,40.805136587721016,4.519906247967743,2.3147400750493716,,,,,,,,,
039030,이오테크닉스,BUY,전략 신규 편입 (rank=10),29271,특수 목적용 기계 제조업,2.936330688709259,2.936330688709259,0.0,10.0,10.0,2.038518461415926,0.3638030436262798,0.550773062849148,0.1167573415446809,0.3594034667459972,0.13478745285771818,0,0.9101765295951452,277000.0,4496635750000.0,2025,3,94250015346.0,100513672313.0,0.06645788803328648,25825067486.0,26002275946.0,0.006861877905878321,370297955362.0,74958722465.0,57024859966.0,78.85395514659807,6.7328500753762475,12.143290787560868,,,,,,,,,
005930,삼성전자,SELL,전략 탈락 (universe_rank=414),264,통신 및 방송 장비 제조업,-1.920357222026445,-1.920357222026445,0.0,414.0,414.0,-2.57729809195265,-0.0419279293752643,-0.1155960316854477,0.2361807006556308,0.2695432504995236,0.14997866763008136,0,0.15394721881407591,183500.0,1081724598060000.0,2025,3,74566317000000.0,86061747000000.0,0.15416384317331913,4676057000000.0,12166062000000.0,1.6017779509531214,315556836000000.0,30020094000000.0,33319454000000.0,32.46525582502042,2.616011341569663,3.427986576909397,100.0,18350000.0,40.0,7340000.0,30.0,5505000.0,30.0,5505000.0,5.000027812625625
058470,리노공업,SELL,전략 탈락 (universe_rank=70),2629,전자부품 제조업,1.568960117415115,1.568960117415115,0.0,70.0,70.0,0.30396487647012393,0.4549451861360529,0.625,0.1004893791539903,0.3716443099880537,0.22752367471415963,0,0.9966443099880538,113500.0,1486131075000.0,2025,3,112522064123.0,96841827642.0,-0.13935254923745122,53444357551.0,48261344084.0,-0.09697961963625513,371192980206.0,173663700155.0,150668799016.0,9.863562228581799,2.1552327779107885,4.003661583727272,50.0,5675000.0,20.0,2270000.0,15.0,1702500.0,15.0,1702500.0,5.0004204923912665
214150,클래시스,SELL,전략 탈락 (universe_rank=102),271,의료용 기기 제조업,1.0131425042586617,1.0131425042586617,0.0,102.0,102.0,0.18350958154252095,0.2327370930095986,0.3355114618167282,0.2330650078866221,0.2718876563851477,0.17127330854494355,0,0.6073991182018759,53900.0,4153058780600.0,2025,3,83283805952.0,82997291548.0,-0.0034402174675486185,43010649853.0,37618140937.0,-0.12537613206101958,317798226287.0,155205037348.0,117689661512.0,35.28822096388255,8.012006128590201,13.06822517268998,600.0,32340000.0,240.0,12936000.0,180.0,9702000.0,180.0,9702000.0,5.006382633240674
